ID_Building,sector,type,efficiency_class,construction_period_start,construction_period_end,Af,Hop,Htr_w,Hve,CM_factor,Am_factor,internal_gains,effective_window_area_west_east,effective_window_area_south,effective_window_area_north,supply_temperature,grid_power_max,person_num,appliance_electricity_demand_per_person,hot_water_demand_per_person,id_demand_profile_type,ventilation_heat_recovery,lighting,lighting_automation,ventilation,ventilation_automation,appliance_ventilation_building,appliance_lighting_building,appliance_other_building
1,residential,Residential building with 1 dwelling,A,2001,2010,133,159,55,55,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,878957,1113100,1,FALSE,CFL,FALSE,natual,FALSE,0,889372,1747499
2,residential,Residential building with 1 dwelling,C,2001,2010,133,242,84,61,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,878957,1113100,1,FALSE,CFL,FALSE,natual,FALSE,0,889372,1747499
3,residential,Residential building with 1 dwelling,F,2001,2010,133,420,146,61,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,878957,1113100,1,FALSE,CFL,FALSE,natual,FALSE,0,889372,1747499
4,residential,Residential building with 7-12 dwelling,A,1981,1990,538,487,114,247,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,859577,1113100,2,FALSE,CFL,FALSE,natual,FALSE,0,3602001,7572500
5,residential,Residential building with 7-12 dwelling,C,1981,1990,538,892,419,258,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,859577,1113100,2,FALSE,CFL,FALSE,natual,FALSE,0,3602001,7572500
6,residential,Residential building with 7-12 dwelling,F,1981,1990,538,1490,677,269,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,859577,1113100,2,FALSE,CFL,FALSE,natual,FALSE,0,3602001,7572500
7,residential,Residential building with 1 dwelling,A,2001,2010,133,159,55,55,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,886204,1113100,3,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,436779,474332,1747501
8,residential,Residential building with 1 dwelling,C,2001,2010,133,242,84,61,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,886204,1113100,3,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,436779,474332,1747501
9,residential,Residential building with 1 dwelling,F,2001,2010,133,420,146,61,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,886204,1113100,3,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,436779,474332,1747501
10,residential,Residential building with 7-12 dwelling,A,1981,1990,538,487,114,247,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,845797,1113100,4,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,1501792,1921067,7572502
11,residential,Residential building with 7-12 dwelling,C,1981,1990,538,892,419,258,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,845797,1113100,4,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,1501792,1921067,7572502
12,residential,Residential building with 7-12 dwelling,F,1981,1990,538,1490,677,269,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,845797,1113100,4,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,1501792,1921067,7572502
13,residential,Residential building with 1 dwelling,A,2001,2010,133,159,55,55,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,737485,1113100,5,TRUE,LED,TRUE,ventilation tech with heat recovery,TRUE,185346,279608,1747501
14,residential,Residential building with 1 dwelling,C,2001,2010,133,242,84,61,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,737485,1113100,5,TRUE,LED,TRUE,ventilation tech with heat recovery,TRUE,185346,279608,1747501
15,residential,Residential building with 1 dwelling,F,2001,2010,133,420,146,61,729000,3.5,4.25,5.48,13.25,8.37,50,9999999,3,737485,1113100,5,TRUE,LED,TRUE,ventilation tech with heat recovery,TRUE,185346,279608,1747501
16,residential,Residential building with 7-12 dwelling,A,1981,1990,538,487,114,247,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,716964,1113100,6,TRUE,LED,TRUE,ventilation tech with heat recovery,TRUE,615610,1132425,7572497
17,residential,Residential building with 7-12 dwelling,C,1981,1990,538,892,419,258,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,716964,1113100,6,TRUE,LED,TRUE,ventilation tech with heat recovery,TRUE,615610,1132425,7572497
18,residential,Residential building with 7-12 dwelling,F,1981,1990,538,1490,677,269,729000,3.5,4.25,73.14,18.91,10.99,50,9999999,13,716964,1113100,6,TRUE,LED,TRUE,ventilation tech with heat recovery,TRUE,615610,1132425,7572497
19,non-residential,Office (public/private) or administration building,A,1971,1980,1751,2766,2393,730,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,1330191,345600,7,FALSE,CFL,FALSE,natural,FALSE,0,23591627,29616013
20,non-residential,Office (public/private) or administration building,C,1971,1980,1751,4968,3867,875,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,1330191,345600,7,FALSE,CFL,FALSE,natural,FALSE,0,23591627,29616013
21,non-residential,"Production, workshop, warehouse or factory building",A,2001,2010,1752,2546,1751,730,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,2773513,361600,8,FALSE,CFL,FALSE,natural,FALSE,0,84535639,54140011
22,non-residential,"Production, workshop, warehouse or factory building",C,2001,2010,1752,3965,2842,876,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,2773513,361600,8,FALSE,CFL,FALSE,natural,FALSE,0,84535639,54140011
23,non-residential,Office (public/private) or administration building,A,1971,1980,1751,2766,2393,730,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,1357251,345600,9,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,13114136,11559897,29616007
24,non-residential,Office (public/private) or administration building,C,1971,1980,1751,4968,3867,875,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,1357251,345600,9,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,13114136,11559897,29616007
25,non-residential,"Production, workshop, warehouse or factory building",A,2001,2010,1752,2546,1751,730,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,2204746,361600,10,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,14674823,41422463,54140014
26,non-residential,"Production, workshop, warehouse or factory building",C,2001,2010,1752,3965,2842,876,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,2204746,361600,10,TRUE,LED,FALSE,ventilation tech with heat recovery,FALSE,14674823,41422463,54140014
27,non-residential,Office (public/private) or administration building,A,1971,1980,1751,2766,2393,730,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,873993,345600,11,FALSE,LED,TRUE,natural,FALSE,0,5343731,29615989
28,non-residential,Office (public/private) or administration building,C,1971,1980,1751,4968,3867,875,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,873993,345600,11,FALSE,LED,TRUE,natural,FALSE,0,5343731,29615989
29,non-residential,"Production, workshop, warehouse or factory building",A,2001,2010,1752,2546,1751,730,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,1381423,361600,12,FALSE,LED,TRUE,natural,FALSE,0,14931143,54140007
30,non-residential,"Production, workshop, warehouse or factory building",C,2001,2010,1752,3965,2842,876,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,1381423,361600,12,FALSE,LED,TRUE,natural,FALSE,0,14931143,54140007
31,non-residential,Office (public/private) or administration building,A,1971,1980,1751,2766,2393,730,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,1019579,345600,13,TRUE,CFL,FALSE,ventilation tech with heat recovery,TRUE,5823449,5343731,29616000
32,non-residential,Office (public/private) or administration building,C,1971,1980,1751,4968,3867,875,729000,3.5,4.25,255.64,137.29,80.48,50,9999999,40,1019579,345600,13,TRUE,CFL,FALSE,ventilation tech with heat recovery,TRUE,5823449,5343731,29616000
33,non-residential,"Production, workshop, warehouse or factory building",A,2001,2010,1752,2546,1751,730,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,1548633,361600,14,TRUE,CFL,FALSE,ventilation tech with heat recovery,TRUE,8360510,14931143,54140000
34,non-residential,"Production, workshop, warehouse or factory building",C,2001,2010,1752,3965,2842,876,729000,3.5,4.25,185.28,99.5,58.33,50,9999999,50,1548633,361600,14,TRUE,CFL,FALSE,ventilation tech with heat recovery,TRUE,8360510,14931143,54140000